"Kiesgerechtigden, blanco/ongeldige stemmen, uitgebrachte geldige stemmen per stemlocatie bij de verkiezingen voor de Tweede Kamer, maart 2021",,gebied,gbd_wijk_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebiednummer,Lijstnummer,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33,36,37
,Aanduiding,stadsdeel,wijk,Postcode,opgeroepenen,geldige stembiljetten,blanco stembiljetten,ongeldige stembiljetten,aangetroffen stembiljetten,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,Partij van de Eenheid,Vrij en Sociaal Nederland,De Groenen,Partij voor de Republiek
23,Stembureau Motivaction International BV,Centrum,A06,1015 ZL,845,723,0,1,724,109,15,19,189,71,25,44,5,67,2,2,9,37,37,5,2,73,1,3,1,2,3,0,0,0,0,1,0,0,0,0,0,1
24,Stembureau Het Claverhuis,Centrum,A06,1016 TX,759,1463,6,2,1471,199,45,18,473,152,69,88,6,142,3,0,5,47,72,13,3,109,3,10,0,0,4,0,0,0,0,0,1,1,0,0,0,0
25,Stembureau Huis van de Buurt De Boomsspijker,Centrum,A04,1011 EC,973,665,0,3,668,53,36,9,154,112,31,42,7,83,1,0,1,28,41,11,1,43,0,5,1,1,2,3,0,0,0,0,0,0,0,0,0,0
26,Stembureau Kerk De Duif,Centrum,A07,1017 LD,915,1364,2,4,1370,250,18,27,475,115,33,65,10,103,1,1,1,30,62,23,0,136,0,6,1,0,0,1,2,4,0,0,0,0,0,0,0,0
27,Stembureau Kerk De Duif,Centrum,A07,1017 LD,925,1535,1,3,1539,259,21,30,549,144,34,73,10,128,0,2,3,31,58,17,1,160,0,2,1,0,5,1,2,1,0,0,1,0,0,0,0,2
28,Stembureau Level Eleven,Centrum,A01,1012AB,723,113,0,0,113,13,0,0,26,10,2,11,0,17,0,0,6,0,11,2,0,11,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
29,Stembureau Posthoornkerk,Centrum,A05,1013 EX,829,1169,2,5,1176,117,37,20,323,148,52,99,6,115,3,0,14,32,77,13,1,90,1,9,1,0,7,1,1,0,0,0,0,0,0,1,0,1
30,Stembureau Posthoornkerk,Centrum,A05,1013 EX,831,1144,2,4,1150,102,49,15,302,151,47,91,11,127,0,0,5,39,67,12,3,107,0,4,0,1,7,0,0,0,0,0,1,0,0,2,0,1
31,Stembureau Tent Funenpark,Centrum,A09,1018 AK,845,1316,2,4,1322,106,36,26,366,195,53,101,9,122,2,0,50,30,87,9,1,93,14,5,0,2,6,0,0,0,0,0,1,0,1,1,0,0
32,Stembureau De Beurs van Berlage,Centrum,A00,1012 ZJ,1027,1033,1,4,1038,146,15,32,324,109,22,38,15,89,1,1,15,25,70,11,2,97,3,8,3,0,3,1,0,0,0,0,1,1,0,0,0,1
33,Stembureau De Roode Bioscoop,Centrum,A05,1013 HP,940,1365,0,3,1368,120,33,26,372,184,62,83,9,134,5,0,20,39,140,12,1,111,2,6,0,1,2,0,1,0,0,1,0,0,0,0,0,1
34,Stembureau Crea Cultureel Studentencentrum,Centrum,A08,1018 WV,645,507,3,1,511,40,8,4,157,68,14,38,3,57,1,1,3,9,36,6,0,52,0,1,1,0,3,0,3,0,0,0,0,0,0,1,0,1
35,Stembureau Doopsgezinde Singelkerk,Centrum,A03,1017 AW,596,326,0,0,326,57,14,10,89,24,7,12,2,23,0,2,2,15,20,2,0,44,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,Stembureau Gemeentepand Jodenbreestraat,Centrum,A04,1011 NH,910,707,4,2,713,77,23,14,194,99,24,42,8,59,0,2,9,16,65,9,2,51,1,5,2,2,1,0,0,0,0,0,0,1,0,1,0,0
37,Stembureau Sporthal Oostenburg,Centrum,A09,1018 ND,616,234,2,1,237,23,9,2,49,38,11,18,5,11,1,0,10,6,28,3,0,14,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1
